,chords_numeric
346,"[6, 5, 1, 2, 6, 5, 1, 2]"
442,"[1, 5, 6, 1, 5, 6, 1, 5, 6, 1, 5, 6]"
58,"[6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1]"
565,"[1, 5, 6, 4, 1, 5, 6, 4]"
431,"[3, 5, 3, 5]"
443,"[4, 5, 3, 6, 4, 5, 3, 6, 4, 5, 3, 6, 5, 4, 5, 3, 6, 1, 4, 5, 3, 6, 5, 4, 5, 3, 6, 5, 4]"
194,"[2, 4, 5, 2, 4, 5]"
383,"[3, 5, 1, 5, 1, 3, 5, 1, 3, 5, 1, 3, 3, 1, 6, 5]"
186,"[2, 4, 1, 5, 2, 4, 1, 5, 2]"
423,"[1, 5, 1, 4, 3, 1, 1, 5, 1]"
20,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 2]"
245,"[6, 1, 6, 1, 6, 5, 1]"
219,"[6, 1, 1, 4, 6, 1, 4, 6, 1, 1, 4, 6, 4, 6, 1, 4, 4, 6, 4, 6, 4]"
4,"[4, 6, 4, 1, 5, 1, 6, 1, 6]"
147,"[1, 5, 6, 6, 4, 4, 1, 5, 4, 1, 2, 1, 1, 5, 6, 6, 4, 4, 1, 5, 4, 1, 2, 1]"
435,"[3, 1, 5, 3, 1, 5, 3, 1, 5, 4, 3, 1, 5, 3, 1, 5, 3, 1, 5, 1, 3, 5, 3, 5]"
236,"[1, 1, 1, 6, 4, 1]"
515,"[1, 5, 4, 1, 5, 4, 1, 5, 4, 1]"
160,"[1, 4, 2, 4, 5, 1, 1, 4, 2, 4, 5, 6, 2, 5, 1, 5, 6, 2, 5, 1, 1, 4, 4, 6, 1, 6, 2, 5, 1]"
561,"[6, 4, 1, 5, 6, 4, 1, 5]"
120,"[1, 5, 6]"
365,"[1, 1, 6, 4]"
131,"[5, 2, 1, 5, 2, 1, 5, 2, 1, 5, 2, 1]"
191,"[5, 4, 1, 2, 1, 4, 1, 2, 5, 4, 1, 2, 5, 4, 5]"
99,"[6, 1, 4]"
140,"[1, 3, 1, 3, 6, 4, 5, 6, 5, 1, 3, 1, 3, 6, 4, 5, 6, 5]"
264,"[2, 5, 1, 5, 6, 2, 5, 1, 5, 6]"
416,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
417,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
551,"[2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1]"
243,"[1, 4, 5, 1, 4, 5, 6, 5, 4, 1, 6, 5, 4, 1]"
532,"[4, 4, 2, 2]"
396,"[1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 6, 5, 4, 1, 6, 5, 4, 1]"
374,"[1, 2, 4, 2, 6, 5, 1, 5, 6, 2, 4, 6, 1, 5, 6, 5, 6, 5, 4, 1, 1, 4, 5, 1, 5, 6, 2, 4, 1, 5, 6, 4, 5, 1, 4, 1, 5]"
95,"[1, 1, 2, 1, 1, 2, 1, 1, 4, 4, 2, 4, 5]"
189,"[2, 4, 1, 5, 2, 4, 1, 5, 2]"
545,"[1, 5, 4, 1, 5, 1, 4]"
177,"[1, 5, 5, 5, 5, 5, 5, 5, 1, 4, 1, 5, 1, 1, 1]"
272,"[1, 3, 6, 3, 1, 3, 6, 3, 1, 3, 6, 3, 1, 3, 6, 3]"
190,"[2, 4, 1, 5, 2, 4, 1, 5, 2]"
210,"[1, 1, 4, 1, 4]"
152,"[4, 5, 1, 6]"
483,"[1, 2, 4, 1, 1, 2, 4, 1]"
360,"[1, 4, 6, 4, 1, 1, 6, 4, 1, 1, 6, 5, 4, 1, 5, 1, 4]"
110,"[1, 4, 6, 5]"
309,"[2, 6, 2, 4]"
405,"[6, 3, 4, 5, 6, 3, 4, 2, 5, 5]"
249,"[6, 1, 5, 2, 6, 1, 5, 4, 1]"
172,"[6, 4, 1, 5, 6, 4, 1, 5]"
350,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
533,"[5, 5, 4, 4, 1, 1, 5, 5, 5, 5, 4, 4, 1, 1, 5, 5, 5, 5, 4, 4, 1, 1, 5, 5]"
378,"[1, 2, 4, 2, 6, 5, 1, 5, 6, 2, 4, 6, 4, 5, 6, 5, 6, 5, 4, 1, 4, 4, 5, 1, 5, 6, 2, 4, 1, 5, 6, 4, 5, 1, 4, 1, 5]"
88,"[1, 5, 6, 4, 4, 5, 1, 6, 5, 1, 5, 6, 4, 4, 5, 1, 6, 5, 4]"
19,"[1, 6, 2, 4, 5, 1, 6, 2, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
462,"[1, 5, 2, 1, 5, 4]"
180,"[6, 1, 5, 4, 4, 1, 2, 4]"
529,"[1, 4, 5, 1, 4, 5, 6, 4, 5, 1, 4, 5, 1, 4, 5, 1, 4, 5]"
154,"[6, 4, 5, 1, 6, 4, 5, 1, 6, 6, 4, 5, 1, 6, 4, 5, 1, 6]"
444,"[4, 5, 3, 6, 4, 5, 6]"
92,"[2, 4, 1, 5]"
356,"[1, 1, 4, 1, 5]"
93,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 1, 1, 5]"
256,"[1, 5, 2, 4, 1, 5, 2, 4]"
375,"[1, 4, 1, 5, 1, 4, 1, 5, 1, 4, 1, 5, 6, 1, 6, 5]"
204,"[6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 5, 1]"
427,"[2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 5, 1, 2, 1, 5, 1, 2, 1, 5, 1]"
547,"[1, 5, 4]"
569,"[1, 5, 6, 4, 1, 5, 6]"
37,"[1, 5, 6, 4]"
316,"[1, 5, 6, 5, 5, 1, 5, 6, 5, 5, 1, 5, 6, 5, 5, 1, 5, 6, 5]"
201,"[6, 5, 4, 5, 6, 5, 4, 5, 4, 5, 6, 5, 4, 5]"
127,"[6, 4, 5, 6, 6, 4, 5, 6, 6, 4, 5, 6, 6, 4, 5, 2, 2]"
418,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
244,"[6, 1, 6, 1, 6, 5, 1]"
48,"[1, 2, 1, 1, 2, 1, 5]"
448,"[1, 6, 4, 5, 6]"
205,"[6, 4, 1, 6, 4, 1, 5, 6, 4, 1, 7, 6, 4, 1]"
413,"[1, 1, 4, 1, 1, 4]"
366,"[1, 1, 6, 4, 1, 1, 6, 4, 5]"
141,"[1, 6, 1, 6, 5, 1, 6, 1, 6, 5]"
255,"[1, 5, 2, 4, 1]"
498,"[1, 3, 4, 2, 1, 6, 2, 5, 1, 3, 4, 2, 1, 6, 5, 1, 5, 4, 1, 4]"
184,"[6, 4, 5, 4, 4, 1, 2, 4]"
535,"[1, 4, 5, 1, 4, 5]"
203,"[6, 4, 1, 6, 4, 1]"
115,"[1, 5, 6, 4, 1, 5, 6, 4, 5, 1, 5, 6, 4, 1, 5, 6, 4, 5]"
246,"[6, 1, 6, 1, 6, 5, 1]"
419,"[2, 4, 1, 5, 2, 4, 1, 2, 4, 1, 5, 2, 4, 1, 5]"
480,"[1, 2, 4, 1]"
230,"[6, 1, 5, 4, 6, 1, 5, 4]"
179,"[1, 5, 1, 5, 5, 5, 1, 4, 1, 5, 1]"
297,"[1, 5, 4]"
2,"[4, 6, 4, 1, 5, 1, 6, 1, 6]"
454,"[4, 2, 6, 1]"
188,"[5, 4, 1, 2, 1, 4, 1, 2, 1, 4, 1, 2, 1, 4, 1]"
47,"[1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5]"
548,"[1, 2, 6, 4, 1, 2, 6, 4]"
557,"[1, 2, 3, 4, 6, 3, 1, 2, 3, 3, 2, 5, 1]"
10,[1]
324,"[1, 5, 6, 4]"
163,"[2, 4, 1, 1]"
408,"[6, 1, 6, 1, 6, 1, 1, 6, 1]"
55,"[6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1]"
445,"[4, 5, 3, 6, 1, 4, 5, 3, 6, 5, 4, 5, 3, 6, 1, 4, 5, 3, 6, 5, 4]"
429,"[2, 1, 5, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 1, 1, 2, 1, 5, 1, 2, 1, 5, 1, 2, 1, 5, 1, 2, 1, 5, 1]"
354,"[1, 1, 4, 1, 5]"
326,"[1, 5, 6, 4, 1, 5, 4, 1]"
458,"[4, 2, 6, 1, 4, 2, 6, 1]"
176,"[4, 4, 2, 2, 5, 5, 1, 1, 1, 4, 4, 2, 2, 5, 5, 1]"
277,"[1, 4, 1, 5, 6, 4, 1, 5]"
104,"[6, 5, 4, 6, 5, 4, 6, 5, 4, 6, 5, 4]"
464,"[1, 5, 2, 1, 5, 4, 1, 5, 2, 1, 5, 4]"
267,"[6, 4, 6, 6, 4, 2, 5, 1, 2, 4, 6, 6, 4, 2, 5, 1]"
26,"[4, 1, 5, 6, 4, 1, 5, 4, 1, 5, 6, 4, 1, 5]"
171,"[6, 4, 1, 5]"
132,"[5, 2, 1, 5, 2, 1, 5]"
486,[2]
212,"[1, 1, 4, 1, 1, 4]"
259,"[1, 5, 2, 4, 1, 5, 2, 4, 1]"
227,"[5, 3, 1, 5]"
449,"[4, 5, 6, 4, 5, 1, 5, 6, 5, 1, 5, 4, 3, 1]"
239,"[2, 4, 6, 1, 1, 2, 4, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
342,"[6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2, 6, 5, 1, 2]"
516,"[1, 5, 4]"
50,"[5, 4, 5, 1, 4, 5, 1, 4, 5, 6, 4, 4, 3, 1, 4, 1, 3]"
337,"[1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 6, 6, 6, 6, 6]"
76,"[1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5]"
497,"[1, 5, 4, 2, 1, 6, 2, 2, 5, 1, 5, 4, 2, 1, 6, 2, 2, 2, 5, 1, 5, 4, 2, 1, 6, 2, 2, 2, 5, 1, 5, 4, 2, 1, 6, 5, 1, 4]"
122,[6]
373,"[1, 4, 1, 5, 1, 4, 1, 5, 1, 4, 1, 5, 6, 1, 6, 5]"
380,"[1, 5, 6, 2, 4, 6, 5, 1, 5, 6, 2, 4, 6, 4, 5, 6, 2, 6, 2, 4, 1, 2, 4, 5, 1, 5, 6, 2, 4, 5, 1, 5, 6, 4, 5, 1]"
226,"[5, 3, 1, 5, 5, 3, 1, 5]"
368,"[1, 1, 6, 4, 1, 1, 6, 4]"
82,"[1, 5, 6, 4]"
113,"[1, 5, 6, 4, 5, 4, 5, 6, 5, 1, 4]"
94,"[2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5, 2, 4, 1, 5]"
294,"[1, 5, 4, 1, 1, 5, 4, 1]"
148,"[6, 1, 4, 1, 1, 5, 4, 1, 2, 1, 6, 1, 4, 1, 1, 5, 4, 1, 2, 1]"
74,"[1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5, 1, 5, 6, 2, 1, 5]"
436,"[4, 5, 1]"
399,"[6, 5, 1, 6, 5, 4, 1]"
53,"[4, 5, 1, 5, 6, 3, 4, 2, 5]"
192,"[2, 4, 1, 5, 2, 4, 1, 5]"
67,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4]"
279,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4]"
332,"[6, 4, 5, 2, 6, 5, 1, 4]"
402,"[1, 5, 6, 3, 5, 1, 5, 6, 3, 5, 1]"
397,"[6, 5, 1, 6, 5, 1]"
558,"[4, 4, 3, 6, 2, 5, 1, 6, 1, 4, 4, 3, 6, 2, 5, 1]"
59,"[6, 5, 1, 4, 6, 5, 1, 4]"
441,"[4, 5, 3, 6, 4, 5, 3, 6, 4, 5, 3, 6, 5, 4, 5, 3, 6, 1, 4]"
425,"[2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1, 2, 1]"
288,"[1, 1, 5, 1]"
388,"[1, 5, 2, 4, 1, 5, 2, 4]"
495,"[6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5, 6, 6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5, 6, 2, 4, 5]"
86,"[4, 5, 2, 1, 5, 4, 2, 1]"
75,"[1, 5, 6, 4, 1, 5, 1, 1, 5, 6, 4, 1, 5, 1]"
31,"[1, 5, 6, 1, 5]"
476,"[1, 5, 5, 5, 4, 1, 5, 1, 5, 1, 5, 4, 1, 5, 4, 1, 5]"
518,"[2, 5, 6, 1, 2, 5, 6, 1, 2, 5, 1, 1, 4, 4, 2, 3, 5]"
560,"[4, 4, 3, 6, 2, 5, 1, 3, 1, 4, 4, 3, 6, 2, 5, 1]"
286,"[1, 1, 5, 1]"
450,"[1, 6, 4, 5, 1]"
134,"[5, 2, 1, 5, 2, 1, 6]"
169,"[6, 4, 1, 5]"
213,"[1, 1, 4, 1, 1, 4, 1, 1, 4, 1, 1, 4]"
364,"[1, 1, 6, 4, 1, 4, 6, 4, 1, 4, 6, 5, 4, 1, 5, 1]"
512,"[6, 6, 6, 6, 6, 4, 1, 6, 4, 1]"
549,"[1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 4, 1]"
517,"[1, 5, 4, 1, 5, 4, 4]"
452,"[4, 5, 6, 4, 5, 1, 5, 6, 5, 1, 5, 4, 3, 4]"
341,"[4, 1, 5, 6, 6, 5, 1, 2]"
235,"[6, 1, 5, 4, 6, 1, 5, 4, 6, 1, 5, 4, 6, 1, 5, 4]"
250,"[1, 5, 6, 4, 3, 1, 5, 6, 4, 3, 1]"
278,"[1, 5, 6, 4]"
525,"[3, 5, 1, 5, 1, 5, 5, 5, 3, 5, 1, 5, 1, 5, 1, 1]"
339,"[1, 2, 6, 4, 1, 2, 6, 4, 1, 2, 6, 6, 6, 6, 6, 6]"
307,"[6, 3, 6, 3, 4]"
398,"[4, 1, 5, 1, 4, 1, 5, 5, 4, 1, 5, 1]"
15,"[6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5]"
478,"[1, 5, 5, 5, 4, 1, 5, 1, 5, 5, 5, 4, 1, 5, 4, 1, 5]"
385,"[1, 5, 4]"
96,"[1, 2, 4, 2, 1, 2, 4, 2, 5, 2, 4, 2, 1, 2, 4, 2]"
466,"[1, 5, 2, 1, 5, 4, 1, 5, 2, 1, 5, 4]"
453,"[5, 6, 5, 1, 5, 4, 5, 6, 5]"
317,"[1, 5, 6, 4]"
252,"[1, 5, 6, 4, 3, 1, 5, 6, 4, 3, 1]"
440,"[1, 5, 6, 1, 5, 6, 1, 5, 6, 1, 5, 6]"
284,"[1, 5, 6, 4, 1, 5, 6, 4]"
262,"[6, 5, 1, 4, 1, 5, 6, 5, 1, 4, 1, 5]"
421,"[1, 5, 5, 4, 3, 1, 1, 5, 1]"
126,"[6, 1, 5, 4, 6, 1, 5, 2, 6, 1, 5, 4, 2, 1, 4, 2, 1, 4]"
331,"[1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6, 4, 3, 4, 4]"
23,"[5, 4, 5, 5, 6, 5]"
40,"[1, 5, 5, 6, 4, 1, 5, 6, 4, 1]"
461,"[4, 2, 6, 1]"
159,"[1, 4, 2, 4, 5, 1]"
103,"[1, 2, 4, 6, 5, 4, 1, 2, 4, 6, 5, 4]"
305,"[6, 6, 3, 3, 6, 6, 3, 4]"
181,"[4, 1, 1, 6, 4, 1, 2, 4]"
57,"[6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1]"
329,"[6, 5, 1, 4, 1, 5, 6, 5, 4, 1, 5, 5]"
384,"[5, 3, 1, 5, 1, 5, 3, 1, 5, 1, 3, 1]"
407,"[5, 6, 3, 5, 1, 5, 6, 3, 5]"
130,"[5, 2, 1]"
371,"[1, 4, 1, 5, 1, 4, 1, 5, 1, 4, 1, 5, 6, 1, 6, 5]"
144,"[1, 5, 6, 4, 4, 1, 5, 4, 1, 2, 1]"
206,"[6, 4, 1, 6, 4, 1, 6, 4, 1, 6, 5, 1]"
41,"[1, 5, 6, 5, 4, 1]"
45,"[1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5]"
254,"[1, 5, 2, 4, 1, 5, 2, 4]"
60,"[6, 5, 1, 6, 5, 1, 6, 5, 1, 6, 5, 1]"
521,"[4, 5, 1, 5, 4, 5, 1, 1, 4, 5, 1, 3, 4, 4, 3, 5]"
349,"[4, 1, 5, 6, 4, 1, 5, 6, 4, 1, 5, 6]"
554,"[1, 2, 3, 4, 3, 3, 5, 2, 3, 3, 2, 5]"
437,"[3, 5, 3, 1, 5, 3, 1, 5, 4]"
44,"[4, 5, 1, 1, 4, 5, 1, 1, 4, 5, 1, 1, 4, 5]"
482,"[1, 2, 4, 1, 1, 2, 4, 1]"
470,"[1, 1, 4, 1, 1, 4]"
293,"[1, 5, 4, 1, 1, 5, 4, 1]"
527,"[1, 4, 5, 1, 4, 5, 6, 4, 5, 1, 4, 5, 1, 4, 5]"
242,"[6, 1, 6, 1, 6, 5, 1]"
