,song_id,song_name,artist_id,artist_name,version,rating,date,preset_id,tonality_name,artist_url,tab_url,hits
1547,220144,If I Die Young,28379,The Band Perry,1,4.79127,1271980801,28922,E,https://www.ultimate-guitar.com/artist/the_band_perry_28379,https://tabs.ultimate-guitar.com/tab/the-band-perry/if-i-die-young-chords-943160,2896261
1548,220144,If I Die Young,28379,The Band Perry,1,4.79127,1271980801,28922,E,https://www.ultimate-guitar.com/artist/the_band_perry_28379,https://tabs.ultimate-guitar.com/tab/the-band-perry/if-i-die-young-chords-943160,2896261
1549,1663829,Treat You Better,46783,Shawn Mendes,3,4.83867,1465033569,2376,Bbm,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320,2895145
1550,1663829,Treat You Better,46783,Shawn Mendes,3,4.83867,1465033569,2376,Bbm,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320,2895145
1551,1663829,Treat You Better,46783,Shawn Mendes,3,4.83867,1465033569,2376,Bbm,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320,2895145
1552,1663829,Treat You Better,46783,Shawn Mendes,3,4.83867,1465033569,2376,Bbm,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320,2895145
1553,1663829,Treat You Better,46783,Shawn Mendes,3,4.83867,1465033569,2376,Bbm,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320,2895145
1554,1663829,Treat You Better,46783,Shawn Mendes,3,4.83867,1465033569,2376,Bbm,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320,2895145
1555,1663829,Treat You Better,46783,Shawn Mendes,3,4.83867,1465033569,2376,Bbm,https://www.ultimate-guitar.com/artist/shawn_mendes_46783,https://tabs.ultimate-guitar.com/tab/shawn-mendes/treat-you-better-chords-1851320,2895145
1556,2442,One,149,U2,1,4.81683,1047340800,183,,https://www.ultimate-guitar.com/artist/u2_149,https://tabs.ultimate-guitar.com/tab/u2/one-chords-47269,2894084
